RESI,Altisource Residential Corporation 
FSP,Franklin Street Properties Corp 
FDP,Fresh Del Monte Produce Inc. C 
FRM,Furmanite Corporation Common St 
GIGA,Giga-tronics Incorporated 
GILD,Gilead Sciences Inc. 
GCA,Global Cash Access Holdings In 
GPN,Global Payments Inc. Common Sto 
GNBC,Green Bancorp Inc.
GPRE,Green Plains Renewable Energy  
GRUB,GrubHub Inc. 
HA, Hawaiian Holdings  Inc. 
HSII, Heidrick & Struggles Internatio 
HSKA, Heska Corporation 
HFBL,Home Federal Bancorp Inc. of Louisiana 
HMN, Horace Mann Educators Corporati 
HDSN, Hudson Technologies  Inc. 
HURN, Huron Consulting Group Inc. 
IACI, IAC/InterActiveCorp 
ICAD, icad inc. 
ICLR, ICON plc 
IR,Ingersoll-Rand plc (Ireland) 
INOD,Innodata Inc. 
IPHI,Inphi Corporation Common 
IPI,Intrepid Potash Inc Common Sto 
JEC,Jacobs Engineering Group Inc. C 
KEM,Kemet Corporation New Common St 
KIM,Kimco Realty Corporation Common 
KVHI,KVH Industries Inc. 
LH,Laboratory Corporation of Ameri 
LMAT,LeMaitre Vascular Inc. 
LPT,Liberty Property Trust 
LYB,LyondellBasell Industries NV Or 
MTSI, M/A-COM Technology Solutions Ho 
MRK,Merck & Company Inc. Common St 
MBRG,Middleburg Financial Corporatio 
NATI,National Instruments Corporatio 
NOV,National Oilwell Varco Inc. Co 
NCR,NCR Corporation Common 
NEU,NewMarket Corp Common 
NLSN, Nielsen Holdings N.V. Common St 
NVMI,Nova Measuring Instruments Ltd. 
NUVA,NuVasive Inc. 
OPHC,OptimumBank Holdings Inc. 
PCAR,PACCAR Inc. 
PEIX,Pacific Ethanol Inc. 
PNRA,Panera Bread Company 
BTU,Peabody Energy Corporation Comm 
PGC,Peapack-Gladstone Financial Cor 
PEI,Pennsylvania Real Estate Invest 
PFE,Pfizer Inc. Common 
PBIB, Porter Bancorp  Inc. 
POR,Portland General Electric Co Co 
PCH,Potlatch Corporation 
PROV,Provident Financial Holdings I 
PSB,PS Business Parks Inc. Common  
PULB,Pulaski Financial Corp. 
QUMU,Qumu Corporation 
RSYS,RadiSys Corporation 
RRC,Range Resources Corporation Com 
RNR, RenaissanceRe Holdings Ltd. Com 
RAI,Reynolds American Inc Common St 
RPXC, RPX Corporation 
RUBI,the Rubicon Project Inc. 
SALT,Scorpio Bulkers Inc. 
ST,Sensata Technologies Holding N. 
SIMO,Silicon Motion Technology Corpo 
SIRI,Sirius XM Radio Inc. 
SM,SM Energy Company Common 
SODA,SodaStream International Ltd. 
SPOK,Spok Holdings Inc.
STMP,Stamps.com Inc. 
RGR,Sturm Ruger & Company Inc. Co 
SMMF,Summit Financial Group Inc. 
SPWR, SunPower Corporation 
SVU,SuperValu Inc. Common 
TXT,Textron Inc. Common 
TFSL,TFS Financial Corporation 
TSS,Total System Services Inc. Com 
CLUB,Town Sports International Holdi 
TRNS,Transcat Inc. 
TRU,Torch Energy Royalty Trust Comm 
TRIB,Trinity Biotech plc 
TRMK,Trustmark Corporation 
TWTR,Twitter Inc. 
SLCA, U.S. Silica Holdings  Inc. Comm 
UMBF,UMB Financial Corporation 
UPS,United Parcel Service Inc. Com 
VR,Validus Holdings Ltd. Common S 
VRTU,Virtusa Corporation 
WSH,Willis Group Holdings Public Li 
INFA,Informatica Corporation 
CSCD,Cascade Microtech Inc. 
CAS,Castle (A.M.) & Co. Common Stoc 
APC,Anadarko Petroleum Corporation  
ARW,Arrow Electronics Inc. Common  
AIZ,Assurant Inc. Common 
CPLA,Capella Education Company 
COB,CommunityOne Bancorp 
DWSN,Dawson Geophysical Company 
FPI,Farmland Partners Inc. 
HW, Headwaters Incorporated Common  
ISTR,Investar Holding Corporation
IPGP,IPG Photonics Corporation 
LNDC,Landec Corporation 
MMC,Marsh & McLennan Companies Inc 
MAS,Masco Corporation Common 
NCLH,Norwegian Cruise Line Holdings Ltd. 
OIS,Oil States International Inc.  
POPE,Pope Resources 
TASR,TASER International Inc. 
YELP, Yelp Inc. Class A Common 
