PLX,Protalix BioTherapeutics Inc.  
DECK,Deckers Outdoor Corporation 
DLPH, Delphi Automotive plc Ordinary  
XRAY,DENTSPLY International Inc. 
DCIX, Diana Containerships Inc. 
DBD,Diebold Incorporated Common St 
DGI,DigitalGlobe Inc Common 
DSPG,DSP Group Inc. 
DFT,Dupont Fabros Technology Inc.  
EIX,Edison International Common Sto 
EA, Electronic Arts Inc. 
ELLI, Ellie Mae  Inc. Common 
EME,EMCOR Group Inc. Common 
EEP,Enbridge Energy L.P. Class A C 
NPO,Enpro Industries Inc 
ENTG,Entegris Inc. 
EPD,Enterprise Products Partners L. 
EVHC,Envision Healthcare Holdings Inc. 
ERIE,Erie Indemnity Company 
ESS,Essex Property Trust Inc. Comm 
ES,EnergySolutions Inc Common Stoc 
EXLS,ExlService Holdings Inc. 
EXPE,Expedia Inc. 
STAY,Extended Stay America Inc. 
FEIC,FEI Company 
FHCO,Female Health Company (The) 
FOE,Ferro Corporation Common 
FCAU,Fiat Chrysler Automobiles N.V.
FEYE,FireEye Inc. 
FFBC,First Financial Bancorp. 
FLML,Flamel Technologies S.A. 
FLS,Flowserve Corporation Common St 
FIG,Fortress Investment Group LLC C 
FCN,FTI Consulting Inc. Common Sto 
IT,Gartner Inc. Common 
GMED, Globus Medical  Inc. Class A Co 
GOV,Government Properties Income Tr 
GHM,Graham Corporation Common 
GVA, Granite Construction Incorporat 
GB,Greatbatch Inc. Common 
GSIT,GSI Technology Inc. 
GUID, Guidance Software  Inc. 
HEES, H&E Equipment Services  Inc. 
HHS, Harte-Hanks  Inc. Common 
HBIO, Harvard Bioscience  Inc. 
HTWR, Heartware International  Inc. 
HF, HFF  Inc. Common 
HME, Home Properties  Inc. Common St 
HST, Host Hotels & Resorts  Inc. Com 
IDXX, IDEXX Laboratories  Inc. 
ISNS,Image Sensing Systems Inc. 
IMMR, Immersion Corporation 
INCR,INC Research Holdings Inc.
INFU,InfuSystems Holdings Inc. Comm 
IM, Ingram Micro Inc. Common 
PODD,Insulet Corporation 
IART, Integra LifeSciences Holdings C 
I,Intelsat S.A. 
IDCC, InterDigital  Inc. 
IVZ,Invesco Plc New Common 
ISBC,Investors Bancorp Inc. 
IRMD,iRadimed Corporation
IRDM,Iridium Communications Inc 
IRM,Iron Mountain Incorporated (Del 
ITC,ITC Holdings Corp. Common 
ESI,ITT Educational Services Inc.  
KAMN,Kaman Corporation Common 
KRC,Kilroy Realty Corporation Commo 
LLL,L-3 Communications Holdings In 
LBY,Libbey Inc. Common 
LINE,Linn Energy LLC 
LNCO, Linn Co  LLC 
LKQ, LKQ Corporation 
LABC,Louisiana Bancorp Inc. 
LRE, LRR Energy  L.P. Common Units R 
MMYT,MakeMyTrip Limited 
MPC, Marathon Petroleum Corporation  
MTRN, Materion Corporation 
MATW,Matthews International Corporat 
MXWL,Maxwell Technologies Inc. 
MD,Mednax Inc. Common 
MDP,Meredith Corporation Common Sto 
MTD,Mettler-Toledo International I 
MDXG,MiMedx Group Inc. 
MOBL,MobileIron Inc.
MOH,Molina Healthcare Inc Common St 
MWW,Monster Worldwide Inc. Common  
MPLX,MPLX LP 
MWA,MUELLER WATER PRODUCTS Common S 
NNN,National Retail Properties Comm 
NSM,Nationstar Mortgage Holdings In 
NGVC, Natural Grocers by Vitamin Cott 
NAVB, Navidea Biopharmaceuticals  Inc 
NTCT,NetScout Systems Inc. 
NEWM,New Media Investment Group Inc. 
NR,Newpark Resources Inc. Common  
NBY,NovaBay Pharmaceuticals Inc. C 
OIIM,O2Micro International Limited 
OXY,Occidental Petroleum Corporatio 
OCLS,Oculus Innovative Sciences Inc 
ODFL,Old Dominion Freight Line Inc. 
OLN,Olin Corporation Common 
OMG,OM Group Inc. Common 
ORBK,Orbotech Ltd. 
OUTR,Outerwall Inc. 
PCRX, Pacira Pharmaceuticals  Inc. 
PBFX,PBF Logistics LP Common Units r
PCCC,PC Connection Inc. 
PDFS,PDF Solutions Inc. 
PRFT,Perficient Inc. 
PF,Pinnacle Foods Inc. 
PNW,Pinnacle West Capital Corporati 
PBI,Pitney Bowes Inc. Common 
PGI,Premiere Global Services Inc 
PG,Procter & Gamble Company (The)  
PBIP,Prudential Bancorp Inc. 
PTCT,PTC Therapeutics Inc. 
QLGC,QLogic Corporation 
RAS,RAIT Financial Trust New Common 
RYAM,Rayonier Advanced Materials Inc
RMD,ResMed Inc. Common 
RNO,Rhino Resource Partners LP Comm 
RNG,RingCentral Inc. 
ROVI,Rovi Corporation 
RYL,Ryland Group Inc. (The) Common 
SCG,SCANA Corporation Common 
SQI,SciQuest Inc. 
SEE,Sealed Air Corporation Common S 
SKYW,SkyWest Inc. 
SLI,SL Industries Inc. Common Stoc 
SPF,Standard Pacific Corp Common St 
HOT, Starwood Hotels & Resorts World 
STFC,State Auto Financial Corporatio 
SSYS,Stratasys Inc. 
SUI,Sun Communities Inc. Common St 
SYA,Symetra Financial Corporation C 
TMUS,T-Mobile US Inc. 
TLMR,Talmer Bancorp Inc. 
TNDM,Tandem Diabetes Care Inc. 
TCO,Taubman Centers Inc. Common St 
TSYS,TeleCommunication Systems Inc. 
TPX,Tempur-pedic International Inc  
TEX,Terex Corporation Common 
TXTR,Textura Corporation 
THLD,Threshold Pharmaceuticals Inc. 
TWC,Time Warner Cable Inc Common St 
TKR,Timken Company (The) Common Sto 
TWI,Titan International Inc. Commo 
TOWR,Tower International Inc. Commo 
UPL,Ultra Petroleum Corp. Common St 
ULBI,Ultralife Corporation 
UHS,Universal Health Services Inc. 
VLO,Valero Energy Corporation Commo 
VLY,Valley National Bancorp Common  
VGR,Vector Group Ltd. Common 
VICL,Vical Incorporated 
VA,Virgin America Inc.
VVUS,VIVUS Inc. 
VCRA, Vocera Communications  Inc. Com 
VG,Vonage Holdings Corp. Common St 
WAGE, WageWorks  Inc. Common 
WWWW,Web.com Group Inc. 
WBMD,WebMD Health Corp 
WMK,Weis Markets Inc. Common 
WMAR,West Marine Inc. 
WU,Western Union Company (The) Com 
INT,World Fuel Services Corporation 
WWE,World Wrestling Entertainment  
XEL,Xcel Energy Inc. Common 
XYL, Xylem Inc. Common 
YNDX,Yandex N.V. 
YRCW,YRC Worldwide Inc. 
ZLTQ, ZELTIQ Aesthetics  Inc. 
PAR, PAR Technology Corporation Comm 
ABY,Abengoa Yield plc
BCOR, Blucora  Inc. 
CVEO,Civeo Corporation Common
FE,FirstEnergy Corporation Common  
GSB,GlobalSCAPE Inc. Common 
HSON, Hudson Global  Inc. 
HTCH, Hutchinson Technology Incorpora 
MERC,Mercer International Inc. 
OCN,Ocwen Financial Corporation NEW 
VTL,Vital Therapies Inc. 
COB,CommunityOne Bancorp 
SMP,Standard Motor Products Inc. C 
ALKS,Alkermes plc 
COP,ConocoPhillips Common 
CMLS,Cumulus Media Inc. 
HK, Halcon Resources Corporation Co 
HP, Helmerich & Payne  Inc. Common  
IDA, IDACORP  Inc. Common 
IFMI, Institutional Financial Markets 
LEG,Leggett & Platt Incorporated C 
PBF,PBF Energy Inc. 
PKI,PerkinElmer Inc. Common 
SRI,Stoneridge Inc. Common 
WST,West Pharmaceutical Services I 
ACRE, Ares Commercial Real Estate Cor 
NCV, AGIC Convertible & Income Fund 
AFAM,Almost Family Inc 
AEC,Associated Estates Realty Corpo 
BG,Bunge Limited Bunge Limited 
EDE,Empire District Electric Compan 
EEQ,Enbridge Energy Management LLC  
EVA,Enviva Partners  LP
EXL,Excel Trust Inc. Common 
FPO,First Potomac Realty Trust Comm 
FELP,Foresight Energy LP Common Unit
HBP,Huttig Building Products Inc. 
LNKD,LinkedIn Corporation Class A Co 
LNBB,LNB Bancorp Inc. 
PES, Pioneer Energy Services Corp. C 
RGC,Regal Entertainment Group Class 
SHOP,Shopify Inc.
SWK,Stanley Black & Decker Inc. Co 
TEGP,Tallgrass Energy GP  LP
VSEC,VSE Corporation 
ZBH,Zimmer Biomet Holdings  Inc.
