ACHN,Achillion Pharmaceuticals Inc. 
OMI,Owens & Minor Inc. Common Stoc 
ORBK,Orbotech Ltd. 
OREX,Orexigen Therapeutics Inc. 
ORN,Orion Marine Group Inc Common 
OSTK,Overstock.com Inc. 
OSUR,OraSure Technologies Inc. 
OTTR,Otter Tail Corporation 
OXY,Occidental Petroleum Corporatio 
PBI,Pitney Bowes Inc. Common 
PDM,Piedmont Office Realty Trust I 
PEI,Pennsylvania Real Estate Invest 
PGTI,PGT Inc. 
PKD,Parker Drilling Company Common  
PPL,PP&L Corporation Common 
PRFT,Perficient Inc. 
PRU,Prudential Financial Inc. Comm 
PXD,Pioneer Natural Resources Compa 
QCOM,QUALCOMM Incorporated 
QDEL,Quidel Corporation 
RAIL,Freightcar America Inc. 
RDC,Rowan Companies plc Class A Ord 
RDWR,Radware Ltd. 
REG,Regency Centers Corporation Com 
RGEN,Repligen Corporation 
RIG,Transocean Ltd (Switzerland) Co 
RNWK,RealNetworks Inc. 
RSO,Resource Capital Corp. Resource 
RYN,Rayonier Inc. REIT Common 
SBGI,Sinclair Broadcast Group Inc. 
SBRA,Sabra Healthcare REIT Inc. 
SCMP,Sucampo Pharmaceuticals Inc. 
SEP,Spectra Energy Partners LP Com 
SGMS,Scientific Games Corp 
SGY,Stone Energy Corporation Common 
SNI,Scripps Networks Interactive I 
SO,Southern Company (The) Common S 
SODA,SodaStream International Ltd. 
SPR,Spirit Aerosystems Holdings In 
SRI,Stoneridge Inc. Common 
STE,STERIS Corporation Common 
STRA,Strayer Education Inc. 
SWM,Schweitzer-Mauduit Internationa 
SXI,Standex International Corporati 
SYMC,Symantec Corporation 
TAP,Molson Coors Brewing Company Cl 
TCO,Taubman Centers Inc. Common St 
TEL,TE Connectivity Ltd. New Switze 
TEX,Terex Corporation Common 
TGP,Teekay LNG Partners L.P. 
THG,Hanover Insurance Group Inc 
TK,Teekay Corporation Common 
TNK,Teekay Tankers Ltd. 
TOO,Teekay Offshore Partners L.P. C 
TORM,TOR Minerals International Inc 
TSLA,Tesla Motors Inc. 
TTMI,TTM Technologies Inc. 
UEIC,Universal Electronics Inc. 
ULTI,The Ultimate Software Group In 
WEX,Winland Electronics Inc. Commo 
WMB,Williams Companies Inc. (The)  
WMGI,Wright Medical Group Inc. 
WPZ,Williams Partners L.P. Common U 
WRLD,World Acceptance Corporation 
WSR,Whitestone REIT Common Shares 
WTI,W&T Offshore Inc. Common 
WTM,White Mountains Insurance Group 
WTS,Watts Water Technologies Inc.  
XPO,XPO Logistics Inc. 
YORW,The York Water Company 
ZAGG,ZAGG Inc 
ACRE, Ares Commercial Real Estate Cor 
AEGN, Aegion Corp 
APO, Apollo Global Management  LLC C 
BIOL, Biolase  Inc. 
CLVS, Clovis Oncology  Inc. 
CSTE, CaesarStone Sdot-Yam Ltd. 
CZR, Caesars Entertainment Corporati 
DYN, Dynegy Inc. Common 
FB, Facebook  Inc. 
GTXI, GTx  Inc. 
GUID, Guidance Software  Inc. 
GXP, Great Plains Energy Incorporate 
HBI, Hanesbrands Inc. Common 
HF, HFF  Inc. Common 
HFC, HollyFrontier Corporation Commo 
HHS, Harte-Hanks  Inc. Common 
HOS, Hornbeck Offshore Services Comm 
HR, Healthcare Realty Trust Incorpo 
HST, Host Hotels & Resorts  Inc. Com 
HURN, Huron Consulting Group Inc. 
ICPT, Intercept Pharmaceuticals  Inc. 
IFMI, Institutional Financial Markets 
IKNX, Ikonics Corporation 
INGR, Ingredion Incorporated Common S 
INXN, InterXion Holding N.V. Ordinary 
LPI, Laredo Petroleum Holdings  Inc. 
MN, Manning & Napier  Inc. Class A  
MNST, Monster Beverage Corporation 
NSP, Insperity  Inc. Common 
RATE, Bankrate  Inc. Common 
RXN, Rexnord Corporation Common Stoc 
TCAP, Triangle Capital Corporation Co 
UAN, CVR Partners  LP Common Units r 
WPX, WPX Energy  Inc. Common 
YELP, Yelp Inc. Class A Common 
VCYT,Veracyte Inc. 
TXMD,TherapeuticsMD Inc. 
TTPH,Tetraphase Pharmaceuticals Inc. 
TMHC,Taylor Morrison Home Corporation 
SQBG,Sequential Brands Group Inc. 
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc. 
HIIQ,Health Insurance Innovations Inc. 
FOXF,Fox Factory Holding Corp 
FMI,Foundation Medicine Inc. 
FEYE,FireEye Inc. 
FCSC,Fibrocell Science Inc. 
ESPR,Esperion Therapeutics Inc. 
EPZM,Epizyme Inc. 
CVRR,CVR Refining LP 
CRTO,Criteo SA 
CQH,Cheniere Energy Partners LP Holdings LLC 
CORR,CorEnergy Infrastructure Trust Inc. 
COMM,CommScope Holding Company Inc. 
CNAT,Conatus Pharmaceuticals Inc. 
CDW,CDW Corporation 
BFAM,Bright Horizons Family Solutions Inc. 
AR,Antero Resources Corporation 
ANIP,ANI Pharmaceuticals Inc. 
AHP,Ashford Hospitality Prime Inc. 
AGIO,Agios Pharmaceuticals Inc. 
ADMS,Adamas Pharmaceuticals Inc. 
EMES,Emerge Energy Services LP 
ENBL,Enable Midstream Partners LP 
HIVE,Aerohive Networks Inc. 
LQ,La Quinta Holdings Inc. 
QTWO,Q2 Holdings Inc. 
SP,SP Plus Corporation 
TRVN,Trevena Inc. 
CMPR,Cimpress N.V
DNOW,NOW Inc. Common
HABT,The Habit Restaurants Inc.
HUBS,HubSpot Inc. Common
HYH,Halyard Health Inc. Common Sto
JUNO,JUNO THERAPEUTICS INC.
KTWO,K2M Group Holdings Inc.
LMRK,Landmark Infrastructure Partner
MORE,Monogram Residential Trust Inc
MRNS,Marinus Pharmaceuticals Inc.
NERV,Minerva Neurosciences Inc
OTIC,Otonomy Inc.
RYAM,Rayonier Advanced Materials Inc
SLCT,Select Bancorp Inc.
XENE,Xenon Pharmaceuticals Inc.
ZEN,Zendesk Inc. Common
ASPN,Aspen Aerogels Inc. Common Sto
AINC,Ashford Inc. Common
SHAK,Shake Shack Inc. Class A Commo
QRVO,Qorvo Inc.
INOV,Inovalon Holdings Inc.
ENTL,Entellus Medical Inc.
AVGR,Avinger Inc.
UE,Urban Edge Properties Common Sh
KHC,The Kraft Heinz Company
GPP,Green Plains Partners LP
FIT,Fitbit Inc.
CFMS,ConforMIS Inc 
BOJA,Bojangles  Inc.
ZBH,Zimmer Biomet Holdings  Inc.
ABUS,Arbutus Biopharma Corporation
ACRS,Aclaris Therapeutics  Inc.
CTMX,CytomX Therapeutics  Inc.
EDGE,Edge Therapeutics  Inc.
LITE,Lumentum Holdings Inc.
QUOT,Quotient Technology Inc.
VIAV,Viavi Solutions Inc.
NVTR,Nuvectra Corporation
OMF,OneMain Holdings  Inc.
PI,Impinj  Inc.
TRNC,tronc  Inc.
ADSW,Advanced Disposal Services  Inc.
FLGT,Fulgent Genetics  Inc.
TUSK,Mammoth Energy Services  Inc.
