CTCM,CTC Media Inc. 
EGT,Entertaining Gaming Asia Incorp 
ENV,Envestnet Inc Common 
ERN,Erin Energy Corporation
ESPR,Esperion Therapeutics Inc. 
EVEP,EV Energy Partners L.P. 
XONE,The ExOne Company 
FATE,Fate Therapeutics Inc. 
AGM,Federal Agricultural Mortgage C 
FMD,First Marblehead Corporation (T 
FUNC,First United Corporation 
FLXN,Flexion Therapeutics Inc. 
FONR,Fonar Corporation 
FSIC,FS Investment Corporation Commo 
FSYS,Fuel Systems Solutions Inc. 
GALT, Galectin Therapeutics Inc. 
GALE, Galena Biopharma  Inc. 
GNRT,Gener8 Maritime Inc.
GFN,General Finance Corporation 
GIGA,Giga-tronics Incorporated 
GLF,GulfMark Offshore Inc. New Com 
HSC, Harsco Corporation Common 
HCOM, Hawaiian Telcom Holdco  Inc. 
HTZ, Hertz Global Holdings  Inc Comm 
HMIN, Home Inns & Hotels Management I 
ZINC,Horsehead Holding Corp. 
HPT, Hospitality Properites Trust Co 
HHC, Howard Hughes Corporation (The) 
ICON, Iconix Brand Group  Inc. 
IPXL,Impax Laboratories Inc. 
INO,Inovio Pharmaceuticals Inc. Co 
IPAR,Inter Parfums Inc. 
IFF, Internationa Flavors & Fragranc 
ISIS,Isis Pharmaceuticals Inc. 
JGW,JGWPT Holdings Inc. 
JIVE, Jive Software  Inc. 
JPEP,JP Energy Partners LP Common un
KNDI,Kandi Technolgies Corp. 
KPTI,Karyopharm Therapeutics Inc. 
KEYW,The KEYW Holding Corporation 
FSTR,L.B. Foster Company 
LF,Leapfrog Enterprises Inc Common 
LIND,Lindblad Expeditions Holdings Inc.
LIOX,Lionbridge Technologies Inc. 
CALL,magicJack VocalTec Ltd 
MDR,McDermott International Inc. C 
MMAC,MMA Capital Management LLC
MODN,Model N Inc. 
MRCC,Monroe Capital Corporation 
MPAA,Motorcar Parts of America Inc. 
LABL,Multi-Color Corporation 
NCMI,National CineMedia Inc. 
NSA,National Storage Affiliates
NEON, Neonode Inc. 
NVRO,Nevro Corp. Common
NSAM,NorthStar Asset Management Grou
NRF,Northstar Realty Finance Corp.  
OMER,Omeros Corporation 
OSTK,Overstock.com Inc. 
PGN,Paragon Offshore plc Ordinary S
PCYG,Park City Group Inc. Common St 
PRKR,ParkerVision Inc. 
PN,Patriot National Inc. Common S
PVA,Penn Virginia Corporation Commo 
PAHC,Phibro Animal Health Corporation 
PDM,Piedmont Office Realty Trust I 
PGEM,Ply Gem Holdings Inc 
POZN,Pozen Inc. 
PINC,Premier Inc. 
PCLN,priceline.com Incorporated 
PFIE,Profire Energy Inc. 
PTCT,PTC Therapeutics Inc. 
PBYI,Puma Biotechnology Inc. 
QBAK,Qualstar Corp. 
QNST,QuinStreet Inc. 
RAX,Rackspace Hosting Inc Common S 
RCAP,RCS Capital Corporation 
RLD,RealD Inc. 
REPH,Recro Pharma Inc. 
RBC,Regal Beloit Corporation Common 
RPRX,Repros Therapeutics Inc. 
REN,Resolute Energy Corporation Com 
REXX, Rex Energy Corporation 
NAME,Rightside Group Ltd.
RNET,RigNet Inc. 
RCPI,Rock Creek Pharmaceuticals Inc
RMTI,Rockwell Medical Inc. 
SB,Safe Bulkers Inc Common 
SALM,Salem Communications Corporatio 
SN, Sanchez Energy Corporation Comm 
SCLN,SciClone Pharmaceuticals Inc. 
SGMS,Scientific Games Corp 
SNI,Scripps Networks Interactive I 
BID,Sotheby's Common 
SPA,Sparton Corporation Common Stoc 
LEAF,Springleaf Holdings LLC 
STRL,Sterling Construction Company I 
STON,StoneMor Partners L.P. Common U 
SMLP, Summit Midstream Partners  LP C 
SEMI,SunEdison Semiconductor Limited
SWSH, Swisher Hygiene  Inc. 
SYNL,Synalloy Corporation 
SYUT,Synutra International Inc. 
TLF,Tandy Leather Factory Inc. 
TTGT,TechTarget Inc. 
TTEC,TeleTech Holdings Inc. 
TTPH,Tetraphase Pharmaceuticals Inc. 
TXTR,Textura Corporation 
TBPH,Theravance Biopharma Inc.
TWER,Towerstream Corporation 
TA,TravelCenters of America LLC Co 
TG,Tredegar Corporation Common Sto 
TRVN,Trevena Inc. 
TRIV,TriVascular Technologies Inc. 
TROV, TrovaGene  Inc. 
TUBE,TubeMogul Inc.
HEAR,Parametric Sound Corporation 
UGI,UGI Corporation Common 
RARE,Ultragenyx Pharmaceutical Inc. 
UNAM,Unico American Corporation 
UNIS,Unilife Corporation 
UTSI,UTStarcom Holdings Corp 
VTNR,Vertex Energy Inc. 
VIMC,Vimicro International Corporati 
VSLR,Vivint Solar Inc. Common
WWAV,The WhiteWave Foods Company 
WWD, Woodward  Inc. 
YDLE,Yodlee Inc.
YY,YY Inc. 
ZFGN,Zafgen Inc.
ATTO,Atento S.A. Ordinary Shares
CHMI,Cherry Hill Mortgage Investment Corporation 
CIDM,Cinedigm Digital Cinema Corp 
OAKS,Five Oaks Investment Corp. 
GLMD,Galmed Pharmaceuticals Ltd. 
HMTV,Hemisphere Media Group Inc. 
IIN, IntriCon Corporation 
LGND,Ligand Pharmaceuticals Incorpor 
MACK, Merrimack Pharmaceuticals  Inc. 
PFSW,PFSweb Inc. 
ZSAN,Zosano Pharma Corporation
CWCO,Consolidated Water Co. Ltd. 
CPRX,Catalyst Pharmaceutical Partner 
RXDX,Ignyta Inc. 
RELY,Real Industry  Inc.
RNWK,RealNetworks Inc. 
RVNC,Revance Therapeutics Inc. 
TGTX,TG Therapeutics Inc. 
USEG,U.S. Energy Corp. 
PSIX,Power Solutions International Inc. 
RGSE,Real Goods Solar Inc. 
REI,Ring Energy Inc. 
VHI,Valhi Inc. Common 
XXII,22nd Century Group Inc. 
AVEO,AVEO Pharmaceuticals Inc. 
BBLU,Blue Earth Inc.
FULL,Full Circle Capital Corporation 
PCYO,Pure Cycle Corporation 
