AAON,AAON Inc. 
ALDR,Alder BioPharmaceuticals Inc.
AINC,Ashford Inc. Common
ADPT,Adeptus Health Inc. Common Stoc
CPSH,CPS TECHNOLOGIES CP
MCRN,Milacron Holdings Corp.
MCRB,Seres Therapeutics  Inc.
FTAI,Fortress Transportation and Infrastructure Investors LLC
EVA,Enviva Partners  LP
CSAL,Communications Sales & Leasing  Inc.
CHCT,Community Healthcare Trust Incorporated
ALRM,Alarm.com Holdings  Inc. 
APLP,Archrock Partners  L.P.
AROC,Archrock  Inc.
HPE,Hewlett Packard Enterprise Company
NVCR,NovoCure Limited
SPXC,SPX Corporation
VER,VEREIT  Inc.
ACIA,Acacia Communications  Inc.
ULH,Universal Logistics Holdings  Inc.
ADSW,Advanced Disposal Services  Inc.
