ABCD,Cambium Learning Group Inc. 
CGIX,Cancer Genetics Inc. 
BDL,Flanigans Enterprises Inc. 
ATOS,Atossa Genetics Inc. 
VJET,Voxeljet AG 
WBAI,500.com Limited 
WIX,Wix.com Ltd. 
WPT,World Point Terminals LP 
WUBA,58.com Inc. 
XPLR,Xplore Technologies Corp. 
AMDA,Amedica Corporation 
BLFS,BioLife Solutions Inc. 
BPTH,Bio-Path Holdings Inc. 
CORI,Corium International Inc. 
EVDY,Everyday Health Inc. 
HEAR,Parametric Sound Corporation 
LPCN,Lipocine Inc. 
PFIE,Profire Energy Inc. 
RXII,RXi Pharmaceuticals Corporation 
CFRX,ContraFect Corporation
CLRB,Cellectar Biosciences Inc.
CRTN,Cartesian Inc.
EARS,Auris Medical Holding AG
FNJN,Finjan Holdings Inc.
IMNP,Immune Pharmaceuticals Inc.
JYNT,The Joint Corp.
MTBC,Medical Transcription Billing Corp
NDRM,NeuroDerm Ltd.
NEOT,Neothetics Inc.
OXBR,Oxbridge Re Holdings Limited
PRTO,Proteon Therapeutics Inc.
RESN,Resonant Inc.
TBIO,Transgenomic Inc.
TENX,Tenax Therapeutics Inc.
TGEN,Tecogen Inc.
UPLD,Upland Software Inc.
CBAY,CymaBay Therapeutics Inc.
CAPN,Capnia Inc.
ABAC,Aoxin Tianli Group Inc.
RAVE,RAVE Restaurant Group Inc.
MXPT,MaxPoint Interactive Inc. Comm
CAPR,CAPRICOR THERAP
BLPH,Bellerophon Therapeutics LLC
ASND,Ascendis Pharma
STDY,STEADYMED LTD.
VSTO,Vista Outdoor Inc. Common
RKDA,Arcadia Biosciences  Inc.
PULM,Pulmatrix  Inc.
PRTY,Party City Holdco Inc.
MCFT,MCBC Holdings Inc.
GKOS,Glaukos Corporation
EPC,Edgewell Personal Care Company
CRBP,Corbus Pharmaceuticals Holdings  Inc.
COLL,Collegium Pharmaceutical  Inc.
CHMA,Chiasma  Inc.
CATB,Catabasis Pharmaceuticals  Inc.
BUFF,Blue Buffalo Pet Products  Inc.
BPMC,Blueprint Medicines Corporation
AEMD,Aethlon Medical  Inc.
TLN,Talen Energy Corporation
VKTX,Viking Therapeutics  Inc.
XBIT,XBiotech  Inc.
XELB,Xcel Brands
ZYNE,Zynerba Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc
CCP,Care Capital Properties  Inc.
ESNC,EnSync  Inc.
GBT,Global Blood Therapeutics  Inc.
NBRV,Nabriva Therapeutics AG
NEOS,Neos Therapeutics  Inc.
NRE,Northstar Realty Europe Corp.
NXRT,NexPoint Residential Trust  Inc. 
VYGR,Voyager Therapeutics  Inc.
AVXS,AveXis  Inc.
BSTG,Biostage  Inc.
CDXC,ChromaDex Corporation
DRIO,LabStyle Innovations Corp.
IDXG,Interpace Diagnostics Group  Inc.
LINK,Interlink Electronics  Inc.
SSKN,Strata Skin Sciences  Inc.
ARA,American Renal Associates Holdings  Inc.
TPB,Turning Point Brands  Inc.
COTV,Cotiviti Holdings  Inc.
TRTN,Triton International Limited
GMRE,Global Medical REIT  Inc.
AIRG,Airgain  Inc.
CCN,CardConnect Corp.
KNSL,Kinsale Capital Group  Inc.
LONE,Lonestar Resources US Inc.
SELB,Selecta Biosciences  Inc. 
TCMD,Tactile Systems Technology  Inc.
TLND,Talend SA
VIVE,Viveve Medical  Inc. 
