ticker,companyname,sector,industry,closeprice,dma10,dma50,dma200
SSFN, Stewardship Financial Corp ,Financial,Regional - Northeast Banks,4.8,4.882,4.9418,4.96985
SUMR,Summer Infant Inc. ,Consumer Goods,Personal Products,1.9,1.981,1.9856,2.4838
SUNE,SunEdison Inc. ,Technology,Semiconductor - Integrated Circuits,19.23,19.099,18.9452,12.8351
SVU,SuperValu Inc. Common ,Services,Grocery Stores,6.99,7.043,6.7264,7.0014
SWC,Stillwater Mining Company Commo ,Basic Materials,Industrial Metals & Minerals,15.78,15.701,14.9302,12.5344
SYRG, Synergy Resources Corporation C ,Basic Materials,Oil & Gas Equipment & Services,11.64,11.501,10.6268,9.52695
TBX,ProShares Short 7-10 Year Treasury ETF,Commodity Based ETF,,32.41,32.561,32.6684,33.2217
TBZ,ProShares UltraShort 3-7 Year Treasury ETF,Commodity Based ETF,,31.52,31.717,31.7028,32.1838
TE,TECO Energy Inc. Common ,Utilities,Electric Utilities,17.96,18.116,17.126,17.0359
TREX,Trex Company Inc. Common ,Industrial Goods,General Building Materials,78.52,77.761,74.7274,63.1718
TRNO,Terreno Realty Corporation Comm ,Financial,REIT - Industrial,18.27,18.39,18.4472,17.9013
TS,Tenaris S.A. American Depositar ,Basic Materials,Oil & Gas Equipment & Services,44.05,44.825,43.3536,44.7791
TYO, Direxion Daily 10-Yr Treasury B ,N/A,N/A,22.81,23.062,23.3056,24.5809
UCC,ProShares Ultra Consumer Services ETF,Commodity Based ETF,,72.66,73.206,75.5342,69.3323
URTH,iShares MSCI World ETF,Global Equity ETF,,70.75,71.01,70.4934,67.8037
USCI, United States Commodity Index F ,N/A,N/A,60.13,59.987,58.8244,56.6791
USLV, VelocityShares 3x Long Silver E ,N/A,N/A,41.06,43.386,50.453,48.5721
USNA,USANA Health Sciences Inc. Com ,Healthcare,Drug Related Products,67.86,77.533,74.6646,75.8439
USPH,U.S. Physical Therapy Inc. ,Healthcare,Specialized Health Services,30.85,31.753,32.7498,31.962
USV, E-TRACS USB Bloomberg Commodity ,N/A,N/A,26.13,26.587,27.9342,28.6157
UTMD,Utah Medical Products Inc. ,Healthcare,Medical Instruments & Supplies,50.79,52.415,54.6462,54.334
UWC,ProShares Ultra Russell3000 ETF,Commodity Based ETF,,83.86,83.838,84.3,76.0961
VCV, Invesco Van Kampen California V ,N/A,N/A,12.06,12.043,11.8422,11.3467
VIEW,Viewtran Group Inc. ,Financial,Credit Services,2.12,2.174,2.2992,2.3158
VNR,Vanguard Natural Resources LLC  ,Basic Materials,Oil & Gas Drilling & Exploration,30.18,30.648,30.1164,28.7799
VPRT,Vistaprint N.V. ,Services,Business Services,39.47,48.993,50.0328,52.9677
VSCP,VirtualScopics Inc. ,Services,Staffing & Outsourcing Services,3.84,3.867,3.8488,3.44575
VVC,Vectren Corporation Common Stoc ,Utilities,Diversified Utilities,40.57,40.377,38.767,35.8031
WIA, Western Asset/Claymore Inflatio ,Financial,Closed-End Fund - Debt,11.96,11.93,11.7072,11.6016
WILC,G. Willi-Food International  L ,Consumer Goods,Food - Major Diversified,7.52,7.563,7.6266,7.62085
WINA,Winmark Corporation ,Services,Specialty Retail Other,75.86,76.453,77.138,77.5281
WNS,WNS (Holdings) Limited Sponsore ,Services,Business Services,18.62,18.91,19.0534,20.2983
WPT,World Point Terminals LP ,Basic Materials,Oil & Gas Pipelines,22.07,22.661,21.478,
WPZ,Williams Partners L.P. Common U ,Basic Materials,Specialty Chemicals,51.58,51.827,50.5224,50.6258
WR,Westar Energy Inc. Common Stoc ,Utilities,Diversified Utilities,35.88,35.741,34.8462,32.7065
WSH,Willis Group Holdings Public Li ,Financial,Insurance Brokers,40.99,42.561,42.615,43.432
WTR,Aqua America Inc. Common ,Utilities,Water Utilities,25.09,25.365,24.9964,25.8246
WTT,Wireless Telecom Group  Inc. C ,Technology,Communication Equipment,2.37,2.437,2.861,2.25045
XAA, American Municipal Income Portf ,Financial,Closed-End Fund - Debt,14.38,14.418,14.2292,13.7153
XL,XL Group plc ,Financial,Property & Casualty Insurance,31.35,31.342,30.6358,30.753
YUM,Yum! Brands Inc. ,Services,Restaurants,76.99,76.962,75.402,72.7745
ZF, Zweig Fund  Inc. (The) Common S ,N/A,N/A,15.05,15.058,14.9878,14.1714
ZLTQ, ZELTIQ Aesthetics  Inc. ,Healthcare,Medical Appliances & Equipment,18.29,18.761,18.654,14.4832
